spk	filename	cm-score	asv-score	sasv-score
SPK_00530224_000	UTT_00780092	-5.705913543701172	8.210522651672363	-5.531960487365723
SPK_00925455_252	UTT_00248047	32.277591705322266	5.374125003814697	7.208809852600098
SPK_00667023_145	UTT_00513424	-6.868574619293213	3.963242769241333	-6.694624900817871
SPK_00283542_117	UTT_00182078	-10.009124755859375	6.150867938995361	-9.835171699523926
SPK_00390613_002	UTT_00719553	-10.795572280883789	10.426172256469727	-10.62161922454834
SPK_00774216_000	UTT_00817821	1.4188134670257568	-0.10894867777824402	0.9638956785202026
SPK_00092370_012	UTT_00835827	-7.5772480964660645	4.284653186798096	-7.403295993804932
SPK_00843613_034	UTT_00842785	31.592206954956055	-3.4569742679595947	-1.6222896575927734
SPK_00365528_000	UTT_00480591	1.4464688301086426	7.047394752502441	1.619720458984375
SPK_00079046_143	UTT_00360331	29.91651153564453	5.536318778991699	7.371003150939941
SPK_00315443_000	UTT_00769953	-4.448890686035156	-0.4276312589645386	-4.278338432312012
SPK_00163002_123	UTT_00370150	28.968236923217773	-0.7420979738235474	1.092586636543274
SPK_00925455_321	UTT_00909292	32.03081130981445	12.134904861450195	13.969589233398438
SPK_00079046_119	UTT_00485355	16.301244735717773	4.289860248565674	6.124513149261475
SPK_00516543_000	UTT_00493201	-8.23895263671875	3.9310028553009033	-8.065000534057617
SPK_00243280_098	UTT_00694442	31.872692108154297	8.739510536193848	10.57419490814209
SPK_00530224_000	UTT_00508047	1.7334423065185547	-2.2328367233276367	-0.49319329857826233
SPK_00605628_000	UTT_00439580	-1.0394312143325806	0.3902795910835266	-0.9099557399749756
SPK_00429482_142	UTT_00562792	28.301597595214844	-5.827624797821045	-3.9929401874542236
SPK_00377384_084	UTT_00605885	31.3064022064209	-5.282516956329346	-3.4478323459625244
SPK_00404373_000	UTT_00974588	21.788631439208984	-7.054986000061035	-5.220301628112793
SPK_00301475_000	UTT_00099572	-8.672317504882812	6.479221820831299	-8.498364448547363
SPK_00328578_255	UTT_00084928	-10.957406997680664	8.930472373962402	-10.783453941345215
SPK_00429482_083	UTT_00347796	27.358993530273438	-1.4362549781799316	0.39842963218688965
SPK_00404767_186	UTT_00776728	29.723026275634766	-9.463580131530762	-7.6288957595825195
SPK_00044224_243	UTT_00734197	30.471582412719727	-3.081747531890869	-1.2470629215240479
SPK_00377384_094	UTT_00229372	-11.113607406616211	2.1877970695495605	-10.939654350280762
